Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
Learning 2D Temporal,heuristic greedy,TRUE,4,5.684704781,42.6430304,21
Learning a Wavelet-like,heuristic greedy,TRUE,5,24.41956401,53.7088811,45
Learning Binary Residual,heuristic greedy,FALSE,4,14.34004021,43.1695152,16
Learning Invariant Representation,heuristic greedy,FALSE,2,12.44936037,24.38229183,8
Learning Logistic Circuits,heuristic greedy,FALSE,7,15.63004541,71.8220304,42
Learning Markov Random,heuristic greedy,FALSE,6,13.78977323,104.0019604,30
Learning Occupational Task-Shares,heuristic greedy,TRUE,5,38.70438838,56.36830363,22
Learning Optical Flow,heuristic greedy,FALSE,4,39.74109864,96.26831937,12
Learning Rewards from,heuristic greedy,TRUE,6,20.67653084,65.73723255,33
Learning Scripts as,heuristic greedy,TRUE,4,11.61253548,43.7478368,43
Learning Sparse Sharing,heuristic greedy,TRUE,4,18.17718768,41.2308864,18
Learning the Joint,heuristic greedy,TRUE,3,12.95843458,41.6887152,12
Learning Transferable Adversarial,heuristic greedy,TRUE,5,26.5139184,51.6646883,31
Let There Be,heuristic greedy,TRUE,5,8.509792805,50.675217,71
Local Differential Privacy,heuristic greedy,FALSE,4,17.16774392,40,35
Long-Term Trends in,heuristic greedy,TRUE,5,16.598562,50.0052576,42
LTU Attacker for,heuristic greedy,FALSE,7,18.38719058,72.8824955,54
Open-Vocabulary Semantic Parsing,heuristic greedy,FALSE,6,15.35592151,63.6934016,34
Open-Vocabulary Video Relation,heuristic greedy,TRUE,3,25.82958055,31.2556364,9
Optimal Pricing for,heuristic greedy,TRUE,3,23.44142413,30,32
Order-Free RNN with,heuristic greedy,TRUE,2,9.128397226,40.480284,4
Out of the,heuristic greedy,TRUE,3,13.65936589,30,24
Painterly Image Harmonization,heuristic greedy,TRUE,5,4.295728445,73.85347555,31
Parameterized Indexed Value,heuristic greedy,FALSE,7,8.039609432,79.65961419,56
Patch-wise Graph Contrastive,heuristic greedy,TRUE,4,12.97492337,53.4307684,8
Planning with Pixels,heuristic greedy,TRUE,2,57.29838419,23.51979895,2
Playing Pairs with,heuristic greedy,TRUE,6,13.15955734,75.7725752,34
Pre-Training With Scientific,heuristic greedy,TRUE,2,5.078714132,20,22
Predicting Depression Severity,heuristic greedy,TRUE,5,14.5006547,56.1574212,39
Predicting the Argumenthood,heuristic greedy,TRUE,4,4.146811724,42.4021167,26
Probability trees and,heuristic greedy,TRUE,2,11.95251513,20,9
Projective Quadratic Regression,heuristic greedy,FALSE,3,11.51944304,30,3
Provably Convergent Federated,heuristic greedy,FALSE,1,30.90413904,10,4
Provably Secure Federated,heuristic greedy,TRUE,7,8.536076546,75.4163314,77
Qualitative Analysis of,heuristic greedy,TRUE,4,3.669876575,46.7395172,16
Quantization-Based Regularization for,heuristic greedy,TRUE,4,29.5894773,45.0278789,34
Relevant Intrinsic Feature,heuristic greedy,TRUE,5,11.86167026,51.86535801,40
Representing Closed Transformation,heuristic greedy,TRUE,2,14.96197343,25.10358144,22
Responsive Planning and,heuristic greedy,TRUE,2,29.67079377,20,16
Retrospective Reader for,heuristic greedy,TRUE,3,5.360421181,32.0254715,23
Revisiting Mahalanobis Distance,heuristic greedy,TRUE,4,3.896930695,43.43701057,14
Source-Target Inference Models,heuristic greedy,FALSE,3,8.124490499,30,52
Synchronous Speech Recognition,heuristic greedy,TRUE,5,16.44960904,55.059991,47
Task-Driven Causal Feature,heuristic greedy,TRUE,5,13.98439026,50.53237162,32
That_s Mine! Learning,heuristic greedy,TRUE,7,16.96375442,83.3589555,36
The Complexity of,heuristic greedy,FALSE,5,18.23133898,50.825232,27
Title-Guided Encoding for,heuristic greedy,FALSE,6,22.80452085,71.67866722,45
Token-Level Contrastive Learning,heuristic greedy,TRUE,5,28.23141503,51.8431516,29
Top-N Recommender System,heuristic greedy,FALSE,6,19.82218575,70.599341,58
Topical Phrase Extraction,heuristic greedy,TRUE,1,18.63305306,10,8
Topological Pooling on,heuristic greedy,TRUE,2,17.31649065,23.0915152,14
Toward a Human-Level,heuristic greedy,TRUE,4,1.53252244,41.38812655,27
Towards an Integrative,heuristic greedy,FALSE,2,17.82046914,22.2105152,8
Towards Autonomous Satellite,heuristic greedy,TRUE,4,10.02494979,55.3791516,17
Towards Cognitive Robots,heuristic greedy,TRUE,3,16.20364833,31.0839803,24
Treatment effect estimation,heuristic greedy,FALSE,3,11.02024674,31.0615152,11
