Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
LTU Attacker for,simple greedy,True,4,11.628961324691772,21.626364024999994,4
Open-Vocabulary Semantic Parsing,simple greedy,False,7,25.435762405395508,51.858515199999985,7
Open-Vocabulary Video Relation,simple greedy,True,3,8.8151273727417,23.639628799999997,3
Optimal Pricing for,simple greedy,True,4,17.995906352996826,7.688259749999986,4
Order-Free RNN with,simple greedy,True,3,6.442588567733765,46.000883999999985,3
Out of the,simple greedy,True,7,18.41537070274353,41.72993147500003,7
Painterly Image Harmonization,simple greedy,True,8,19.43166732788086,73.11521302500005,8
Parameterized Indexed Value,simple greedy,False,9,82.77822184562683,56.132967372083314,0
Patch-wise Graph Contrastive,simple greedy,True,4,12.252628564834595,46.13201079999999,4
Planning with Pixels,simple greedy,True,2,4.8036346435546875,23.519798947196975,2
Playing Pairs with,simple greedy,True,12,27.638750791549683,96.97929680000001,12
Pre-Training With Scientific,simple greedy,True,5,12.29044508934021,19.928486125000006,5
Predicting Depression Severity,simple greedy,True,8,17.425631999969482,40.80414660000068,8
Predicting the Argumenthood,simple greedy,True,4,9.989267826080322,17.50862162499999,4
Projective Quadratic Regression,simple greedy,False,3,7.837414264678955,30.0,3
Provably Convergent Federated,simple greedy,False,2,7.188350439071655,12.617599999999982,2
Provably Secure Federated,simple greedy,True,7,26.560988903045654,29.233900646470566,7
Qualitative Analysis of,simple greedy,True,5,13.479597330093384,45.27279579999998,5
Quantization-Based Regularization for,simple greedy,True,4,13.960899114608765,15.518969766937985,4
Relevant Intrinsic Feature,simple greedy,True,8,44.48818755149841,45.74172779499996,8
Representing Closed Transformation,simple greedy,True,5,14.739948272705078,23.056248799999977,5
Responsive Planning and,simple greedy,True,1,1.1259055137634277,0.0,1
Retrospective Reader for,simple greedy,True,4,10.34608769416809,17.693365074999946,4
Revisiting Mahalanobis Distance,simple greedy,True,2,6.824673175811768,9.78794088729174,2
Source-Target Inference Models,simple greedy,True,5,14.277195453643799,21.74999775000002,5
Synchronous Speech Recognition,simple greedy,False,5,17.298513650894165,21.074997749999994,5
Task-Driven Causal Feature,simple greedy,True,4,12.927166938781738,21.688181475000007,4
That_s Mine! Learning,simple greedy,True,11,31.765815496444702,82.54393162500003,11
The Complexity of,simple greedy,False,7,35.74729299545288,47.04108310000002,7
Title-Guided Encoding for,simple greedy,True,10,31.518390893936157,63.69386602,10
Token-Level Contrastive Learning,simple greedy,False,13,48.61374807357788,287.7146413749999,13
Top-N Recommender System,simple greedy,False,8,21.359225511550903,35.02859775000002,8
Topical Phrase Extraction,simple greedy,True,6,14.371223211288452,32.69826828499994,6
Topological Pooling on,simple greedy,True,4,34.46929049491882,22.330765200000045,4
Toward a Human-Level,simple greedy,True,8,19.312914848327637,54.08425802499998,8
Towards an Integrative,simple greedy,False,3,22.682873487472534,18.071886399999983,3
Towards Autonomous Satellite,simple greedy,True,5,21.811161279678345,46.23051519999997,5
Towards Cognitive Robots,simple greedy,True,5,15.357877731323242,27.697631474999987,5
Treatment effect estimation,simple greedy,False,3,10.555828094482422,22.765378800000008,3
