Name,Algorithm,Reduced,Iterations,Time,Cost
159790_3,heuristic greedy,True,6,15.267173290252686,77.34575401
9023_1,heuristic greedy,True,3,9.086697101593018,35.74352912748736
150491_2,heuristic greedy,True,3,8.458399295806885,30.0
39392_2,heuristic greedy,True,7,17.952988624572754,84.49523039728574
47286_1,heuristic greedy,True,7,17.40447211265564,123.08362666539205
117718_1,heuristic greedy,True,10,24.28808307647705,148.34808368748736
151684_1,heuristic greedy,True,2,4.866328477859497,20.0
115429_2,heuristic greedy,True,9,21.089608669281006,122.3491852201001
139319_1,heuristic greedy,True,12,31.749650478363037,211.95032719999998
153600_2,heuristic greedy,True,6,15.798753261566162,78.93715805999997
84746_2,heuristic greedy,True,19,48.12036633491516,359.3954918299493
25594_3,heuristic greedy,True,3,8.473339557647705,34.00354010064057
49963_3,heuristic greedy,True,2,5.366647005081177,20.009999999999998
105217_1,heuristic greedy,True,2,4.831081390380859,20.0
104919_2,heuristic greedy,True,3,7.863976240158081,35.827894439999994
130464_1,heuristic greedy,True,3,7.440103530883789,58.089221249999966
79677_2,heuristic greedy,True,4,11.008566617965698,48.86245672882724
139801_1,heuristic greedy,True,4,10.403176069259644,48.489630116844296
142344_2,heuristic greedy,True,8,19.67637586593628,108.39073708999997
103663_1,heuristic greedy,True,1,2.8414015769958496,10.0
12902_2,heuristic greedy,True,8,19.700825929641724,118.57453936748729
65327_3,heuristic greedy,True,15,36.8265266418457,247.37520791863219
89053_1,heuristic greedy,True,2,4.713394403457642,21.010231777487373
54344_3,heuristic greedy,True,2,4.941783905029297,26.847192929999984
147621_2,heuristic greedy,True,9,24.990175247192383,159.17790211010012
28009_1,heuristic greedy,True,9,20.475244522094727,197.1272840591373
70622_1,heuristic greedy,True,11,27.367812156677246,187.47052142863214
160938_3,heuristic greedy,False,1,2.5830955505371094,10.01
90456_2,heuristic greedy,True,9,23.0014967918396,137.50909300701886
1940_3,heuristic greedy,True,11,27.45557975769043,224.4775293841189
47993_1,heuristic greedy,True,7,16.77514934539795,87.69523347537788
59288_1,heuristic greedy,True,9,22.50381898880005,113.9305892501001
143495_2,heuristic greedy,True,4,9.914497137069702,41.04498305999999
170047_1,heuristic greedy,True,3,7.3640618324279785,43.67438383999999
63158_2,heuristic greedy,True,2,5.076423645019531,20.0
73069_3,heuristic greedy,True,7,17.29276394844055,140.84082173684428
85592_2,heuristic greedy,True,3,7.590702056884766,30.532491529999994
72734_3,heuristic greedy,True,2,5.079416275024414,20.522491529999996
89084_1,heuristic greedy,True,2,4.9098801612854,20.0
135450_3,heuristic greedy,True,1,2.6449356079101562,16.83719192000001
60211_1,heuristic greedy,True,9,22.87186360359192,167.91057192371275
154630_1,heuristic greedy,True,1,2.879298210144043,10.0
90094_3,heuristic greedy,True,2,4.751293659210205,20.532491529999994
97108_2,heuristic greedy,True,3,7.450611114501953,31.044983059999993
107227_2,heuristic greedy,True,5,13.31339716911316,78.09771187999999
79671_1,heuristic greedy,True,11,27.99945569038391,237.81719058616702
157413_3,heuristic greedy,True,2,5.352687358856201,20.0
145967_2,heuristic greedy,True,2,5.471368312835693,20.0
60358_1,heuristic greedy,True,4,9.726986646652222,42.63789443999999
104941_3,heuristic greedy,True,12,31.885730028152466,178.3165634151852
121005_3,heuristic greedy,True,4,10.07705044746399,43.98354010064057
117942_3,heuristic greedy,True,4,10.564749240875244,83.66649179999999
138104_3,heuristic greedy,True,3,7.646550178527832,35.25578887999998
41407_3,heuristic greedy,True,10,25.23755645751953,157.7631005365545
123944_2,heuristic greedy,True,1,2.6179983615875244,10.0
57521_3,heuristic greedy,True,7,17.442353010177612,101.08081175999999
92859_1,heuristic greedy,True,10,24.14642858505249,148.7895018088273
19157_2,heuristic greedy,True,7,17.169596672058105,145.77357388040681
134776_1,heuristic greedy,True,7,17.728596210479736,107.39033207368863
67228_1,heuristic greedy,True,4,10.642540216445923,54.043770084695495
145115_2,heuristic greedy,True,3,7.623612880706787,31.044983059999993
122848_1,heuristic greedy,True,6,15.506530284881592,108.00239939999997
31031_2,heuristic greedy,True,5,12.827693223953247,60.057192929999985
26133_3,heuristic greedy,True,2,5.3187785148620605,20.02
42389_1,heuristic greedy,True,5,12.459680080413818,57.943298359999986
72519_1,heuristic greedy,True,2,5.136275291442871,20.92902021152215
83016_2,heuristic greedy,True,5,12.345991134643555,65.53270259765448
100888_2,heuristic greedy,True,4,9.971332788467407,45.26578887999998
148126_2,heuristic greedy,True,2,5.33971905708313,35.265788879999995
95979_3,heuristic greedy,True,10,25.138773679733276,120.41594295457146
28587_3,heuristic greedy,True,1,2.2340266704559326,10.0
2584_1,heuristic greedy,True,4,9.524528741836548,42.63789443999999
118191_3,heuristic greedy,True,11,27.591217279434204,166.3499735568443
92082_2,heuristic greedy,True,10,26.246809005737305,199.83277864
83940_3,heuristic greedy,True,2,4.89291524887085,20.532491529999994
154123_2,heuristic greedy,True,4,10.300455570220947,52.663579029999994
127735_3,heuristic greedy,True,3,7.990630626678467,31.044983059999993
120126_1,heuristic greedy,True,2,4.917367935180664,20.009999999999998
132684_1,heuristic greedy,True,2,5.318774223327637,20.0
136312_2,heuristic greedy,True,7,18.31801128387451,166.76283284
16183_1,heuristic greedy,True,9,22.554753303527832,151.27025183368858
94468_1,heuristic greedy,True,4,11.590002536773682,41.56747458999999
96918_3,heuristic greedy,True,2,5.36365532875061,24.733298359999992
154847_3,heuristic greedy,True,5,12.887548923492432,52.49663295882724
137463_2,heuristic greedy,True,2,5.367647647857666,20.0
123800_1,heuristic greedy,True,2,5.165188312530518,20.0
123900_2,heuristic greedy,True,2,5.384603977203369,20.009999999999998
137655_1,heuristic greedy,True,12,28.734174251556396,198.76788982702053
77671_1,heuristic greedy,True,5,12.025839805603027,90.92264760000003
155235_3,heuristic greedy,True,6,15.684585094451904,95.47243431005006
66299_3,heuristic greedy,True,8,19.175708055496216,114.0219906386321
94263_2,heuristic greedy,True,14,35.535969972610474,227.69894830613367
137032_2,heuristic greedy,True,9,22.10688805580139,142.78062171684428
57014_1,heuristic greedy,True,5,12.458681583404541,64.30106811791102
91000_3,heuristic greedy,True,7,17.816362619400024,124.34862630809471
113903_1,heuristic greedy,True,12,28.21993088722229,211.20837031000008
98077_1,heuristic greedy,True,1,2.519270420074463,10.0
173544_2,heuristic greedy,True,7,17.695677042007446,72.77796136005006
87219_2,heuristic greedy,True,1,2.746654987335205,10.0
149923_2,heuristic greedy,True,12,29.75059676170349,206.88349545999995
153580_3,heuristic greedy,True,2,4.923832654953003,20.522491529999996
89790_3,heuristic greedy,True,5,12.25522756576538,118.07434352425506
54434_3,heuristic greedy,True,1,2.158229351043701,14.733298359999992
89550_3,heuristic greedy,True,3,6.661190509796143,32.63789443999999
12738_2,heuristic greedy,True,9,22.709283351898193,172.10631663470224
31777_2,heuristic greedy,True,3,7.61762809753418,31.05498305999999
148450_1,heuristic greedy,True,7,16.19867706298828,90.37880795882724
139216_3,heuristic greedy,True,2,4.641587972640991,20.0
109444_2,heuristic greedy,True,2,4.844045400619507,25.255788879999983
163838_2,heuristic greedy,True,1,2.440474033355713,16.837192929999986
136603_3,heuristic greedy,True,3,7.738303184509277,30.0
124930_1,heuristic greedy,True,1,2.6469218730926514,10.0
44230_3,heuristic greedy,True,3,7.10500955581665,30.009999999999998
82028_1,heuristic greedy,True,5,11.233990669250488,51.56747458999999
128518_3,heuristic greedy,True,1,2.5801024436950684,10.0
87768_1,heuristic greedy,True,2,4.762265682220459,20.0
23625_2,heuristic greedy,True,18,44.641905307769775,390.38853996765465
112633_1,heuristic greedy,True,9,22.201478004455566,120.11371539005003
9421_2,heuristic greedy,True,2,4.726681470870972,23.21
48799_2,heuristic greedy,True,1,2.3277738094329834,10.0
140878_3,heuristic greedy,True,6,14.747604846954346,82.16401395684431
95242_2,heuristic greedy,True,3,7.208722114562988,33.63761784780381
3119_3,heuristic greedy,True,1,2.3357532024383545,10.0
49847_3,heuristic greedy,True,1,2.9062271118164062,10.01
83843_3,heuristic greedy,True,5,12.854700088500977,100.29364235999998
20399_3,heuristic greedy,True,7,17.310715436935425,73.81294442005004
134233_2,heuristic greedy,True,2,5.00461745262146,20.0
83082_1,heuristic greedy,True,6,13.917986869812012,100.92264760000005
44189_1,heuristic greedy,True,8,18.201334238052368,121.27679911999998
109903_3,heuristic greedy,True,2,5.092381715774536,28.489630116844296
102467_1,heuristic greedy,True,1,2.6788370609283447,10.0
130982_1,heuristic greedy,True,8,20.444902181625366,94.46701022010011
108940_1,heuristic greedy,True,9,21.729942560195923,161.31751091266364
122200_1,heuristic greedy,True,3,7.418170690536499,34.74329835999999
145545_1,heuristic greedy,True,1,2.622995376586914,10.0
24216_3,heuristic greedy,True,8,18.26315975189209,102.08754402999998
130723_1,heuristic greedy,True,2,4.5059545040130615,20.0
147486_1,heuristic greedy,True,1,2.3098232746124268,10.0
39291_3,heuristic greedy,True,6,14.574358701705933,67.73282464765911
77505_2,heuristic greedy,True,13,31.85887122154236,222.39077397005008
55185_1,heuristic greedy,True,6,15.86186146736145,85.05752412396052
147048_1,heuristic greedy,True,3,9.514776468276978,32.63789443999999
150465_2,heuristic greedy,True,3,7.1678338050842285,36.83719192000001
49416_2,heuristic greedy,True,1,2.57515287399292,10.01
90638_2,heuristic greedy,True,2,4.55382227897644,20.0
161870_2,heuristic greedy,True,15,37.211541414260864,244.63452517530038
162990_2,heuristic greedy,True,6,15.50653076171875,100.9226476
131510_2,heuristic greedy,True,6,15.344210863113403,78.44740138269276
123263_1,heuristic greedy,True,2,5.129283428192139,20.009999999999998
58153_1,heuristic greedy,True,5,11.945067882537842,83.34350075999997
96616_2,heuristic greedy,True,1,2.567094564437866,10.522491529999996
16006_2,heuristic greedy,True,5,12.032832145690918,111.12065178999993
171929_3,heuristic greedy,True,1,2.7267093658447266,10.0
138480_1,heuristic greedy,True,9,21.99553608894348,128.40526107999995
86637_2,heuristic greedy,True,2,4.7662513256073,20.0
103943_1,heuristic greedy,True,2,5.4853355884552,23.98354010064057
158564_1,heuristic greedy,True,1,2.4993155002593994,10.0
35467_3,heuristic greedy,True,5,12.592905759811401,61.53667329497475
63141_2,heuristic greedy,True,15,34.36434292793274,266.7352928588273
19151_3,heuristic greedy,True,4,9.753090620040894,48.46578887999998
109726_3,heuristic greedy,True,1,2.2659554481506348,10.01
84548_3,heuristic greedy,True,3,8.008586168289185,43.68438585999997
64427_2,heuristic greedy,True,6,15.94066572189331,88.51257526887333
121591_1,heuristic greedy,True,7,17.05575942993164,84.48096143929858
67322_3,heuristic greedy,True,4,9.603734016418457,72.51755508627346
76911_2,heuristic greedy,True,2,4.947775363922119,30.037192929999986
144924_3,heuristic greedy,True,2,5.045513391494751,20.0
7461_3,heuristic greedy,True,1,2.4993162155151367,13.2
80209_1,heuristic greedy,True,9,22.358213424682617,168.71879792124878
32808_3,heuristic greedy,True,10,21.995184659957886,194.3027307685737
20362_2,heuristic greedy,True,4,10.06612777709961,52.50964965882723
60717_2,heuristic greedy,True,2,5.080451726913452,26.847192929999984
