Name,Algorithm,Reduced,Iterations,Time
101437_1,simple greedy,True,3,7.4470837116241455
79132_1,simple greedy,True,12,30.97218680381775
93485_2,simple greedy,False,13,29.896109104156494
85836_3,simple greedy,True,23,56.21508741378784
158463_1,simple greedy,True,14,35.3106255531311
141046_1,simple greedy,True,8,17.995378732681274
122762_1,simple greedy,True,14,38.66200017929077
20732_2,simple greedy,True,9,23.56698441505432
56626_2,simple greedy,True,9,21.248210430145264
31521_1,simple greedy,True,8,20.501561403274536
143601_3,simple greedy,True,15,35.550447940826416
102900_1,simple greedy,True,14,36.646024227142334
96918_3,simple greedy,True,6,15.849626541137695
92517_3,simple greedy,True,14,35.051979064941406
99698_2,simple greedy,True,9,21.323986053466797
90094_3,simple greedy,True,2,4.599698543548584
112506_3,simple greedy,True,6,15.826669216156006
38213_1,simple greedy,True,9,23.40687322616577
117573_1,simple greedy,True,6,15.720960855484009
49847_3,simple greedy,True,4,12.771095752716064
89849_1,simple greedy,True,11,30.749772310256958
93516_3,simple greedy,True,8,20.732558012008667
135801_1,simple greedy,True,5,15.280148267745972
60717_2,simple greedy,True,3,9.535504341125488
