Name,Algorithm,Reduced,Iterations,Time,Cost
35467_3,simple greedy,True,1,2.785550832748413,0.0
113732_1,simple greedy,True,3,8.18112063407898,39.466596719999984
126139_3,simple greedy,True,13,35.349705934524536,102.79020915382013
25235_1,simple greedy,True,17,43.37110257148743,213.20096622860507
174081_1,simple greedy,True,6,16.276509761810303,33.780373345381136
155669_1,simple greedy,True,8,22.727415561676025,82.59447839354685
120105_2,simple greedy,True,5,13.412142038345337,74.45202831999998
91083_2,simple greedy,True,21,54.41024684906006,470.0227087083617
26133_3,simple greedy,True,5,13.69041109085083,29.81234874145924
154630_1,simple greedy,True,9,23.9891197681427,68.21522609382014
55549_3,simple greedy,True,9,21.518778085708618,117.41453845582909
123305_2,simple greedy,True,10,29.579224109649658,108.40492655487637
7337_3,simple greedy,True,13,35.06722974777222,129.70840464824428
4622_2,simple greedy,True,8,21.39588713645935,63.39525702954238
132121_3,simple greedy,True,14,36.40266680717468,184.07039033350728
114128_1,simple greedy,True,10,27.143006086349487,132.83466972423102
75921_2,simple greedy,True,12,30.776707410812378,83.91533473569889
146206_2,simple greedy,True,9,24.529728651046753,68.48953387705579
131974_3,simple greedy,True,3,8.107320547103882,5.243832269518377
172583_1,simple greedy,True,14,35.744410276412964,104.11256360156196
107657_3,simple greedy,True,10,26.49315047264099,83.48890875643788
94938_1,simple greedy,True,2,4.858008623123169,20.522491529999996
19357_2,simple greedy,True,2,4.9597368240356445,18.369999999999997
138104_3,simple greedy,True,11,29.46720814704895,96.92081531671221
132684_1,simple greedy,True,5,12.406822443008423,25.255787880000014
136603_3,simple greedy,True,11,26.812309741973877,78.47070171244121
167603_3,simple greedy,True,6,15.803738355636597,33.77356662699327
100338_3,simple greedy,True,2,4.864989519119263,10.0
140878_3,simple greedy,True,11,27.224183082580566,91.2564646107717
150860_2,simple greedy,True,12,31.39613437652588,118.91909865538953
75515_3,simple greedy,True,10,24.537708044052124,124.08294594
105682_3,simple greedy,True,4,10.575718879699707,34.07848994335002
89849_1,simple greedy,True,11,29.413827419281006,89.51796470479239
157413_3,simple greedy,True,4,10.917888879776001,33.87848994335002
161385_3,simple greedy,True,3,7.25260591506958,20.408595959999992
121357_2,simple greedy,True,9,23.389450550079346,53.78855240370578
174032_3,simple greedy,True,5,13.355281829833984,50.59500398152453
74326_1,simple greedy,True,7,17.895587682724,89.45964958999998
74251_1,simple greedy,True,6,15.253219366073608,40.532491529999994
121370_1,simple greedy,True,19,48.068453788757324,197.57053009341539
123900_2,simple greedy,True,1,2.396590232849121,10.0
156947_2,simple greedy,True,2,4.947767496109009,6.93
28009_1,simple greedy,True,14,31.95759606361389,257.8028151249327
99897_2,simple greedy,True,9,22.740716457366943,47.87962014951837
53838_3,simple greedy,True,8,19.30860185623169,132.29349620685963
118091_2,simple greedy,True,16,42.55022144317627,196.72697789004997
86799_1,simple greedy,True,9,22.245638847351074,67.60239480200067
53662_1,simple greedy,True,7,18.50052809715271,66.26893355903358
30579_3,simple greedy,True,2,4.8530213832855225,10.0
25737_1,simple greedy,True,4,10.110961198806763,30.009999999999998
118029_3,simple greedy,True,20,51.6578631401062,199.92505251380592
123580_1,simple greedy,True,8,19.602163791656494,77.34805614000001
51045_3,simple greedy,True,8,20.90420389175415,70.990478463729
9421_2,simple greedy,True,3,7.293511152267456,23.21
116965_3,simple greedy,True,2,4.873932600021362,20.0
79671_1,simple greedy,True,14,36.99906325340271,253.85223464635848
14030_1,simple greedy,True,21,71.35025191307068,295.51997995846546
134776_1,simple greedy,True,15,38.73279285430908,152.44519406531225
39291_3,simple greedy,True,1,2.3277742862701416,0.0
49545_2,simple greedy,True,12,27.176360607147217,116.865968855174
72277_1,simple greedy,True,22,49.13196063041687,397.40518783
90456_2,simple greedy,True,13,30.64359951019287,163.5384987195487
3551_2,simple greedy,True,1,2.300884485244751,0.0
43640_2,simple greedy,True,3,6.92449164390564,24.733298359999992
13257_1,simple greedy,True,5,11.166137218475342,49.4021112535929
143495_2,simple greedy,True,7,16.428515672683716,47.23383226951837
145420_1,simple greedy,True,7,17.292759895324707,52.18030588181945
58744_2,simple greedy,True,9,21.087037801742554,66.81166216666217
85377_1,simple greedy,True,3,6.645236492156982,10.01
8926_2,simple greedy,True,9,20.882214069366455,152.89980118018923
24826_1,simple greedy,True,11,23.439348936080933,102.01022234555347
20732_2,simple greedy,True,9,21.171079874038696,68.75558142745606
145967_2,simple greedy,True,7,16.454527378082275,62.71310976295636
50210_1,simple greedy,True,14,31.853691339492798,125.49277697711787
79677_2,simple greedy,True,12,29.040708303451538,119.82562918218181
1601_1,simple greedy,True,3,6.330071687698364,5.243832269518377
