,results simple greedy,results heuristic greedy,results non stop heuristic greedy,results model greedy,non stop results classification greedy,results regreession model greedy,results non stop regreession model greedy,results classification regreession model greedy
Reduced,98.0,97.0,100.0,82.0,107.0,96.0,95.0,105.0
Iterations,5.525179856115108,4.202898550724638,4.253623188405797,2.805755395683453,4.057553956834532,5.194244604316546,5.246376811594203,4.08029197080292
Time,21.070725801179734,16.940204575441886,16.25054359090501,10.691206693649292,15.836438913139508,19.623460514082325,20.01566083016603,15.330904976294859
Cost,39.5323644786898,47.880153610172776,48.20783320727422,28.638326599518486,39.20708614270555,39.87502016165176,40.22640352724584,39.36043346668483
Total_operators,5.273381294964029,28.32608695652174,28.3768115942029,15.611510791366907,16.863309352517987,5.309352517985611,5.36231884057971,17.21897810218978
