,results simple greedy,results heuristic greedy,results non stop heuristic greedy,results model greedy,non stop results classification greedy,results regreession model greedy,results non stop regreession model greedy,results classification regreession model greedy
Reduced,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
Iterations,5.273972602739726,3.904109589041096,3.904109589041096,3.3424657534246576,3.3424657534246576,4.780821917808219,4.794520547945205,3.3698630136986303
Time,19.374732040379147,15.261954657019,14.40294610637508,11.966949443294578,12.472350809672108,16.97304703438119,17.162623797377496,12.177064820511701
Cost,35.75447454291854,45.37742303882517,45.37742303882517,34.46441271046792,34.46441271046792,35.59774957588487,35.64277573684378,34.31524714916655
Total_operators,5.273972602739726,25.84931506849315,25.84931506849315,14.013698630136986,14.013698630136986,4.821917808219178,4.835616438356165,14.178082191780822
