,results simple greedy,results heuristic greedy,results non stop heuristic greedy,results model greedy,non stop results classification greedy,results regreession model greedy,results non stop regreession model greedy,results classification regreession model greedy
Reduced,98.0,97.0,100.0,82.0,107.0,96.0,95.0,105.0
Iterations,5.469387755102041,4.092783505154639,4.18,3.3902439024390243,3.822429906542056,5.0,5.052631578947368,3.8476190476190477
Time,19.766859784418223,15.920097990134328,15.101589269638062,12.066449473543864,14.19971609784064,17.588253964980442,17.924316393701655,13.855122429983956
Cost,36.983192842472455,46.72026707333234,47.455803393132385,35.16291297855678,37.648728427816884,36.95541904000536,37.329109282429954,38.0668438947134
Total_operators,5.469387755102041,27.84536082474227,28.45,14.463414634146341,16.64485981308411,5.0625,5.11578947368421,16.942857142857143
