,results simple,results heuristic,results classification,results regression,results classification regression
Reduced,98.0,97.0,82.0,96.0,107.0
Iterations,5.547445255474453,4.242647058823529,2.8405797101449277,5.239130434782608,4.043165467625899
Time,21.08322746591241,16.97384675455147,10.671941413521738,19.660935927152174,14.668342532107914
Cost,39.26104036961314,48.204630339411764,28.80618217239855,39.7572518727971,39.26897999098562
Total_operators,5.291970802919708,28.477941176470587,15.77536231884058,5.355072463768116,16.906474820143885
