,results simple,results heuristic,results classification,results regression,results classification regression
Reduced,98.0,97.0,82.0,96.0,107.0
Iterations,5.459183673469388,4.061855670103093,3.3658536585365852,5.03125,3.8130841121495327
Time,20.7037914652449,16.16268159685567,11.327762883182928,18.70047458505208,13.254148166915888
Cost,37.29428047007143,46.398912777525766,35.15919683557317,37.01456148110417,37.796437456700936
Total_operators,5.459183673469388,27.463917525773194,14.378048780487806,5.09375,16.672897196261683
