,results simple,results heuristic,results classification,results regression,results classification regression
Reduced,74.0,74.0,74.0,74.0,74.0
Iterations,5.216216216216216,3.891891891891892,3.310810810810811,4.797297297297297,3.3513513513513513
Time,20.060739945905404,16.053736328918923,11.28624969272973,18.580377778283783,11.580722496324325
Cost,35.10412005374325,45.183920581621614,34.19939195185136,35.55883047021621,34.35145264374325
Total_operators,5.216216216216216,25.864864864864863,13.932432432432432,4.837837837837838,14.04054054054054
