Name,Algorithm,Reduced,Iterations,Time,Cost
96865_2,model greedy,True,2,13.242913722991943,20.02
150255_1,model greedy,False,6,26.056039333343506,99.96698562999998
163647_1,model greedy,True,1,3.052070379257202,10.01
125963_1,model greedy,True,1,3.316567897796631,10.01
23217_1,model greedy,True,3,11.421513080596924,38.333835750727225
106210_3,model greedy,True,5,20.08407497406006,55.47247600000006
108266_2,model greedy,True,1,3.8656721115112305,10.01
156274_1,model greedy,True,2,9.297343969345093,49.301575520000256
84588_1,model greedy,True,1,3.574317216873169,10.01
118713_3,model greedy,True,6,23.357434034347534,106.41174803999999
93304_2,model greedy,True,8,31.756322622299194,149.80981952000002
101836_2,model greedy,True,5,20.27581238746643,117.59846115830405
154065_2,model greedy,True,1,4.732416868209839,12.696758560000035
18323_3,model greedy,True,4,17.929653882980347,53.434040855554095
119208_3,model greedy,True,11,73.59229278564453,227.143405593304
171227_3,model greedy,True,2,6.72515869140625,129.01970259692803
2021_2,model greedy,True,9,32.64223265647888,296.0594531903785
163447_3,model greedy,True,1,3.980159282684326,12.704488560000016
126784_2,model greedy,True,4,17.959505081176758,50.210786980000194
91551_1,model greedy,True,4,15.404210329055786,76.91906966064055
59739_2,model greedy,True,8,29.64841604232788,131.0209473700001
147502_1,model greedy,True,2,6.918617010116577,137.1465071787297
19867_3,model greedy,True,5,16.915921449661255,54.14995199499999
83095_2,model greedy,True,5,19.32780933380127,92.10853239559992
98762_2,model greedy,True,3,10.267567873001099,47.56521937000002
14310_3,model greedy,True,3,11.85634183883667,46.27470914887179
119948_2,model greedy,True,2,7.225208759307861,20.02
148719_3,model greedy,True,3,15.61852478981018,33.13612355999999
72198_3,model greedy,True,3,17.473180770874023,32.701027937599996
52271_2,model greedy,True,2,8.175865650177002,28.56683048000002
123370_1,model greedy,True,6,23.854159593582153,106.90241923999992
173408_2,model greedy,False,1,3.611757516860962,11.247788560000004
37164_2,model greedy,True,2,7.247274398803711,20.523734540000028
145744_1,model greedy,True,3,11.581098556518555,32.780295056027235
110402_1,model greedy,True,2,7.10181736946106,22.45415084000002
148830_2,model greedy,True,5,17.524011850357056,95.95627308000003
101504_2,model greedy,True,12,44.674001693725586,232.7769823298834
136713_1,model greedy,True,2,7.358861684799194,26.43413072000004
85140_2,model greedy,True,5,19.140584230422974,111.48982926719997
60425_2,model greedy,True,2,8.691402435302734,20.728034141904004
135811_2,model greedy,True,8,28.041080951690674,194.43976793405014
148868_1,model greedy,True,1,3.794137716293335,10.047810623599958
66316_1,model greedy,True,2,8.777585744857788,29.466596719999984
172507_3,model greedy,True,2,7.004697561264038,27.61870048000003
142406_1,model greedy,True,4,14.468315839767456,66.06751025360018
35960_2,model greedy,True,4,16.884459257125854,70.00834443638647
412_2,model greedy,True,6,20.751866340637207,144.31608287220013
146652_3,model greedy,True,1,4.158736944198608,16.83719192000001
48964_3,model greedy,True,2,6.9655492305755615,25.98935026530023
172811_1,model greedy,True,1,3.573202133178711,10.0
46381_1,model greedy,True,7,26.90273118019104,78.25714245105596
121651_3,model greedy,True,1,3.6144211292266846,10.445518364999998
163793_1,model greedy,True,5,20.279248237609863,88.9117769500001
126671_3,model greedy,True,6,25.01864242553711,162.1460122700001
156830_2,model greedy,True,2,7.983283042907715,23.064900679999994
86340_3,model greedy,True,6,23.55137014389038,88.48606044825627
89376_2,model greedy,True,2,8.759578227996826,24.750436302400033
128826_3,model greedy,False,2,9.883872747421265,60.22468548000002
170807_1,model greedy,True,1,4.711684465408325,10.680239494704097
125494_3,model greedy,True,3,11.699677228927612,42.4786584347043
40487_2,model greedy,True,8,29.2809796333313,136.01821159000002
69211_1,model greedy,True,3,10.274535179138184,39.034546376444666
142232_3,model greedy,True,2,8.101205825805664,27.205924080000045
107555_1,model greedy,True,1,3.873180389404297,10.01715647360004
130331_2,model greedy,True,2,8.923331260681152,24.91127262105607
95721_3,model greedy,True,1,3.0137059688568115,10.01
85525_1,model greedy,False,5,20.10142207145691,109.44629493999999
170999_1,model greedy,True,1,4.740760803222656,10.0
149952_3,model greedy,True,7,26.170185804367065,126.97066525760012
126558_3,model greedy,True,4,17.189218997955322,84.35154908000011
30520_2,model greedy,True,5,17.768202543258667,104.00147404000008
86571_2,model greedy,False,5,21.30244493484497,115.07629671000001
36359_3,model greedy,True,4,17.214275598526,100.8580384335525
71551_3,model greedy,True,4,14.879166841506958,116.93766909820002
147211_3,model greedy,True,2,7.7932047843933105,21.044983059999993
33375_3,model greedy,True,1,4.769931077957153,14.733298359999992
105570_3,model greedy,True,1,3.604426145553589,10.017169798400005
55828_2,model greedy,True,1,4.379101514816284,10.01
108314_2,model greedy,True,4,16.5728280544281,49.79525340178785
102931_1,model greedy,True,3,11.459214210510254,35.25578888
13431_2,model greedy,True,4,44.59039878845215,45.00692358930591
163301_2,model greedy,True,1,4.5097715854644775,12.627894439999992
161077_1,model greedy,False,2,7.876683712005615,50.40852708000011
79189_3,model greedy,True,1,3.8199570178985596,10.01
155361_2,model greedy,True,11,43.480995655059814,326.1281022687001
118531_3,model greedy,True,1,3.49926495552063,10.01
117540_2,model greedy,True,4,15.09213924407959,53.63337867537794
155296_1,model greedy,True,3,12.958662271499634,49.693100244299984
159291_2,model greedy,True,7,24.923227787017822,124.5804019600001
86202_2,model greedy,True,5,21.35944175720215,98.58326474000008
19335_1,model greedy,True,4,15.670666217803955,51.90298550500012
137371_3,model greedy,False,3,11.856722354888916,55.89941760000005
15045_1,model greedy,True,4,16.046486616134644,45.22448360000001
83861_2,model greedy,True,1,4.293221950531006,29.46659672
146875_2,model greedy,False,12,45.8049259185791,483.66510997125033
107651_2,model greedy,True,2,7.118563890457153,35.272947040000005
100949_2,model greedy,True,9,34.94543123245239,138.3198314274561
32936_1,model greedy,True,1,3.5976476669311523,10.01
113481_1,model greedy,False,3,11.534970045089722,52.727011326580026
110501_2,model greedy,True,6,22.38879156112671,95.00724457
